epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8225662112236023,4.999999873689376e-05,0.7777817249298096,0.9445129632949829,0.3326890766620636
1,0.8773444294929504,4.999999873689376e-05,0.5961280465126038,0.9371146559715271,0.3427530825138092
2,0.8937183618545532,4.999999873689376e-05,0.5238617658615112,0.9408138394355774,0.3702253997325897
3,0.9103900194168091,4.999999873689376e-05,0.46761226654052734,0.954377293586731,0.30615606904029846
4,0.9175350069999695,4.999999873689376e-05,0.4380486011505127,0.9654747247695923,0.285611629486084
5,0.9205120801925659,4.999999873689376e-05,0.414352148771286,0.9691738486289978,0.27382102608680725
6,0.9356951713562012,4.999999873689376e-05,0.382533460855484,0.9667077660560608,0.2918451428413391
7,0.941649317741394,4.999999873689376e-05,0.3626757562160492,0.9716399312019348,0.26171210408210754
8,0.9422447085380554,4.999999873689376e-05,0.36734843254089355,0.9679408073425293,0.2548004686832428
9,0.9532598853111267,4.999999873689376e-05,0.31946682929992676,0.9802712798118591,0.2333451509475708
10,0.9550461173057556,4.999999873689376e-05,0.32356736063957214,0.9852034449577332,0.23729711771011353
11,0.9535576105117798,4.999999873689376e-05,0.32529670000076294,0.9741060137748718,0.2531372308731079
12,0.9553438425064087,4.999999873689376e-05,0.32447147369384766,0.9852034449577332,0.22922292351722717
13,0.9592140316963196,4.999999873689376e-05,0.3137790262699127,0.992601752281189,0.2220962792634964
14,0.9639773964881897,4.999999873689376e-05,0.28976473212242126,0.995067834854126,0.19955718517303467
15,0.9610003232955933,4.999999873689376e-05,0.3011968433856964,0.9852034449577332,0.2372869998216629
16,0.9699315428733826,4.999999873689376e-05,0.2719387710094452,0.9852034449577332,0.2148868292570114
17,0.9681453108787537,4.999999873689376e-05,0.26974841952323914,0.9876695275306702,0.20998595654964447
18,0.96635901927948,1.4999999621068127e-05,0.27678459882736206,0.9889025688171387,0.21121589839458466
19,0.9696338176727295,1.4999999621068127e-05,0.2700200080871582,0.995067834854126,0.1994214951992035
