epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.28143376111984253,0.0010000000474974513,2.8441076278686523,0.03672787919640541,4.490546226501465
1,0.42565107345581055,0.0010000000474974513,2.031364679336548,0.02003338932991028,4.931641101837158
2,0.5541865229606628,0.0010000000474974513,1.5265417098999023,0.03171953186392784,5.292464733123779
3,0.6365163922309875,0.0010000000474974513,1.2378865480422974,0.2303839772939682,3.2649552822113037
4,0.7146457433700562,0.0010000000474974513,0.9536342620849609,0.542570948600769,1.572147250175476
5,0.7734528183937073,0.0010000000474974513,0.7586100697517395,0.72120201587677,0.9137097597122192
6,0.8258190751075745,0.0010000000474974513,0.6103056073188782,0.8497495651245117,0.5537226796150208
7,0.8543825149536133,0.0010000000474974513,0.5110092759132385,0.816360592842102,0.7067198157310486
8,0.8829459547996521,0.0010000000474974513,0.4253680408000946,0.8898163437843323,0.3962424099445343
9,0.9126295447349548,0.0010000000474974513,0.33577942848205566,0.9065108299255371,0.34447789192199707
10,0.9025483131408691,0.0010000000474974513,0.3384990990161896,0.8647746443748474,0.522269070148468
11,0.924670934677124,0.0010000000474974513,0.2877241373062134,0.9098497629165649,0.3202773928642273
12,0.931111752986908,0.0010000000474974513,0.2577032744884491,0.904841423034668,0.3718551695346832
13,0.9372724890708923,0.0010000000474974513,0.23987512290477753,0.9482470750808716,0.20570187270641327
14,0.9406328797340393,0.0010000000474974513,0.22126176953315735,0.9432387351989746,0.22544549405574799
15,0.9529543519020081,0.0010000000474974513,0.19076913595199585,0.9632720947265625,0.1492237150669098
16,0.961635410785675,0.0010000000474974513,0.16927580535411835,0.9649415612220764,0.17178978025913239
17,0.9568748474121094,0.0010000000474974513,0.17622317373752594,0.9749582409858704,0.11597762256860733
18,0.9759171009063721,0.0010000000474974513,0.1307891458272934,0.9666110277175903,0.14253143966197968
19,0.9759171009063721,0.0010000000474974513,0.1259746253490448,0.9799666404724121,0.11081652343273163
20,0.977037250995636,0.0010000000474974513,0.12322155386209488,0.9766277074813843,0.12805266678333282
21,0.9638756513595581,0.0010000000474974513,0.15913090109825134,0.9565943479537964,0.16733257472515106
22,0.9756370782852173,0.0010000000474974513,0.13511313498020172,0.9849749803543091,0.10233402252197266
23,0.9705964922904968,0.0010000000474974513,0.1336975395679474,0.9749582409858704,0.13578836619853973
24,0.9759171009063721,0.0010000000474974513,0.11791730672121048,0.9666110277175903,0.1276150643825531
25,0.9761971235275269,0.0010000000474974513,0.12527324259281158,0.9799666404724121,0.10549604147672653
26,0.9809576869010925,0.0010000000474974513,0.11039271950721741,0.9782971739768982,0.12111247330904007
27,0.9907588958740234,0.0005000000237487257,0.0745394229888916,0.994991660118103,0.06134191155433655
28,0.99467933177948,0.0005000000237487257,0.06458970904350281,0.9983305335044861,0.04752446711063385
29,0.9949594140052795,0.0005000000237487257,0.0641733855009079,1.0,0.045958079397678375
