epoch,accuracy,loss,val_accuracy,val_loss
0,0.48050016164779663,2.244767665863037,0.7546239495277405,1.111714482307434
1,0.703185498714447,1.1684614419937134,0.8471023440361023,0.7050908207893372
2,0.7651086449623108,0.9570474624633789,0.8877928256988525,0.5096464157104492
3,0.8052992224693298,0.7691018581390381,0.8828606605529785,0.47709202766418457
4,0.8303066492080688,0.6712847352027893,0.9161528944969177,0.39170971512794495
5,0.8440011739730835,0.6492000222206116,0.8964241743087769,0.4259854257106781
6,0.8758559226989746,0.5564022064208984,0.9445129632949829,0.34048938751220703
7,0.8800238370895386,0.5413280725479126,0.9309494495391846,0.35646528005599976
8,0.887168824672699,0.49718013405799866,0.9482120871543884,0.3083705008029938
9,0.885084867477417,0.5177667140960693,0.954377293586731,0.2974447011947632
10,0.8949092030525208,0.4921398460865021,0.9494451284408569,0.2933795750141144
11,0.8978862762451172,0.4805443286895752,0.9531442523002625,0.29282262921333313
12,0.8999702334403992,0.4585476219654083,0.9531442523002625,0.3104305565357208
13,0.9002679586410522,0.49088409543037415,0.9445129632949829,0.31506994366645813
14,0.9089014530181885,0.47369056940078735,0.9654747247695923,0.2779770791530609
15,0.9184281229972839,0.4283031225204468,0.956843376159668,0.2985026240348816
16,0.9181303977966309,0.45005059242248535,0.9630086421966553,0.2994827926158905
17,0.9157487154006958,0.46084147691726685,0.956843376159668,0.3130883276462555
18,0.9139624834060669,0.43541616201400757,0.9765721559524536,0.27322569489479065
19,0.9258707761764526,0.41359972953796387,0.9617756009101868,0.29291263222694397
